state,action,supervisor_action
11222211,left,down
11222211,nothing,down
11222211,right,down
11221212,right,right
11221212,right,right
11221212,nothing,right
11221212,left,right
11221212,down,right
12221112,up,right
11221212,right,right
11221212,down,right
12221112,up,right
11221212,right,right
11211212,left,right
11221212,up,right
11221212,nothing,right
11221212,up,right
11221212,nothing,right
11221212,down,right
12221112,down,right
12221112,up,right
11221212,up,right
11221212,nothing,right
11221212,down,right
12221112,left,right
12221112,nothing,right
12221112,nothing,right
12221112,up,right
11221212,left,right
11221212,right,right
11221212,left,right
11221212,nothing,right
11221212,nothing,right
11221212,up,right
11221212,down,right
12221212,right,right
12221112,right,right
12221112,down,right
12221112,left,right
12221112,up,right
11221212,up,right
11221212,up,right
11221212,left,right
11221212,left,right
11222211,up,down
11222211,right,down
11221212,nothing,right
11221212,right,right
11221212,left,right
11221212,left,right
11222211,nothing,down
11222211,left,down
11222211,right,down
11221212,right,right
11221212,left,right
11221212,up,right
11221212,down,right
12221212,right,right
12221112,right,right
12221112,up,right
11221212,down,right
12221112,right,right
12211112,right,right
12121112,right,right
12121112,right,right
12121212,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121212,left,right
12122211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,nothing,down
12122212,right,down
12122212,left,down
12122212,right,down
12122212,left,down
12122212,up,down
12222212,down,down
12122212,down,down
12122212,nothing,down
12122212,right,down
12122212,down,down
12122212,nothing,down
12122212,up,down
12122212,right,down
12121212,right,down
12121212,right,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,left,down
12122212,right,down
12121212,right,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12122212,up,down
12122212,left,down
12122212,nothing,down
12122212,down,down
12122212,down,down
12122212,up,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,nothing,down
12122212,right,down
12122212,nothing,down
12122212,right,down
12121212,right,down
12121212,left,down
12121212,left,down
12122212,left,down
12122212,nothing,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,right,down
12122212,nothing,down
12122212,down,down
12122212,up,down
12122212,up,down
12222212,down,down
12122212,down,down
12122212,up,down
12122212,nothing,down
12122212,right,down
12121212,left,down
12122212,right,down
12121212,right,down
12121212,right,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12122212,nothing,down
12122212,nothing,down
12122212,up,down
12222212,down,down
12122212,nothing,down
12122212,down,down
12122212,up,down
12122212,left,down
12122212,up,down
12222212,down,down
12122212,up,down
12222212,down,down
12122212,nothing,down
12122212,nothing,down
12122212,down,down
12122212,right,down
12122212,nothing,down
12122212,right,down
12121212,right,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,left,down
12122212,right,down
12121212,left,down
12122212,up,down
12122212,nothing,down
12122212,right,down
12121212,left,down
12122212,right,down
12121212,left,down
12122212,down,down
12122212,right,down
12121212,right,down
12121212,left,down
12121212,left,down
12122212,down,down
12122212,left,down
12122212,right,down
12122212,nothing,down
12122212,down,down
12122212,right,down
12121212,right,down
12121212,left,down
12121212,right,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12122212,left,down
12122212,up,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,left,down
12121212,right,down
12122212,up,down
12222212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,up,down
12222212,down,down
12122212,nothing,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,up,down
12222212,down,down
12122212,nothing,down
12122212,down,down
12122212,down,down
12122212,left,down
12121212,right,down
12122212,nothing,down
12122212,nothing,down
12122212,right,down
12122212,nothing,down
12122212,up,down
12122212,nothing,down
12122212,right,down
12121212,left,down
12122212,down,down
12122212,left,down
12122212,up,down
12122212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,up,down
12222212,down,down
12122212,down,down
12122212,up,down
12122212,down,down
12122212,nothing,down
12122212,right,down
12122212,right,down
12121212,left,down
12122212,down,down
12122212,down,down
12122212,up,down
12122212,up,down
12122212,up,down
12122212,up,down
12222212,down,down
12122212,right,down
12121212,left,down
12122212,down,down
12122212,up,down
12122212,left,down
12122212,nothing,down
12122212,nothing,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,nothing,down
12122212,up,down
12222212,down,down
12122212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,down,down
12122212,nothing,down
12122212,nothing,down
12122212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,right,down
12122212,left,down
12122212,down,down
12122212,left,down
12121212,left,down
12121211,up,down
12121211,up,down
12221211,right,right
12221212,right,right
12222212,down,down
12122212,down,down
12122212,nothing,down
12122212,right,down
12122212,down,down
12122212,right,down
12121212,right,down
12121212,right,down
12121212,left,down
12121212,right,down
12121212,left,down
12121212,left,down
12121212,left,down
12122212,down,down
12122212,left,down
12122212,left,down
12121212,left,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12221211,right,right
12211212,right,right
12121212,left,right
12121212,left,right
12121211,down,right
12221211,right,right
12221212,right,right
12221212,right,right
12221212,right,right
