state,action,supervisor_action
11122212,down,down
12222212,down,down
12122111,down,down
12121211,down,down
12121111,down,up
12121111,down,up
12121111,down,up
12121111,up,up
12121211,up,up
12121211,up,up
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
11121212,up,right
11121212,down,right
12221212,down,right
12121211,down,right
12121211,down,right
12121111,down,right
12121111,down,right
12121111,up,right
12121211,up,right
12121211,up,right
12221212,up,right
