state,action,supervisor_action
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,left,up
12121211,left,right
12121211,left,right
12121211,left,right
12121211,left,down
12121211,left,down
12121211,left,down
12121211,left,left
12121211,left,left
12121211,left,left
