state,action,supervisor_action
12121212,down,left
12121212,down,left
12121212,down,left
12121212,down,left
12121212,down,left
12121212,down,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
22121112,right,up
12121112,right,up
12121112,right,up
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111212,down,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
22121112,right,up
12121112,right,up
12121112,right,up
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
22121112,right,up
12121112,right,up
12121112,right,up
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111212,down,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
