state,action,supervisor_action
12121211,up,up
12121211,up,up
12121211,up,right
12121211,up,right
12121211,up,down
12121211,up,down
12121211,up,left
12121211,up,left
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,right
12121211,up,right
12121211,up,right
12121211,up,down
11121211,right,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,right,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
11122212,up,down
11122212,up,down
11122212,up,left
11122212,up,left
11122212,up,up
11122212,up,up
11122212,up,up
11122212,up,right
11122212,up,right
