state,action,supervisor_action
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,down,down
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,down
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,down
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,left,right
22121111,up,right
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,down,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,left,up
21121211,nothing,right
21121211,up,right
12121211,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,down,up
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,down,up
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,down,up
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,up,up
12121211,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121212,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,down,up
22121211,right,right
12121212,right,right
12121212,right,right
12111212,up,up
12111212,left,left
12121212,left,left
12121212,left,left
22121211,up,up
21121211,nothing,right
21121211,up,right
12121212,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121212,left,right
12121211,down,right
12121211,right,right
12111212,down,up
12111212,left,left
12121211,up,up
12121211,right,right
12111212,down,up
12111212,left,left
12121211,up,up
12121211,right,right
12111212,up,up
12121212,left,left
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
12121211,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
12121211,down,down
12121211,right,right
12121212,right,right
12121212,right,right
12111212,up,down
12111212,left,left
12121212,left,left
12121212,left,left
12121211,up,down
12121212,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121212,left,right
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,down
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
12121211,right,right
12121212,right,right
