state,action,supervisor_action
11222211,right,right
11221212,down,right
12221212,up,right
11221212,right,right
11221212,left,right
11221212,left,right
11222211,right,right
11221212,down,right
12221212,up,right
11221212,left,right
11222211,up,right
11222211,right,right
11221212,right,right
11221212,up,right
11221212,nothing,right
11221212,right,right
11221212,down,right
12221112,right,right
12211112,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,left,right
12121212,nothing,right
12121212,right,right
12121212,left,right
12121212,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12121212,left,right
12122211,left,right
12122211,down,right
12122211,down,right
12122211,up,right
12122211,right,right
12111212,down,up
12111212,down,up
12111212,down,up
12111221,down,up
12111221,down,up
12121212,down,up
12121212,up,up
12121212,left,up
21121211,right,up
12121212,down,up
12121212,up,up
12121212,up,up
12111221,up,up
12111221,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12121212,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121212,right,up
12121212,down,up
12121212,left,up
12121211,down,up
12121211,down,up
12121211,down,up
12121211,down,up
12121211,down,up
12121212,nothing,up
12121212,down,up
12121212,nothing,up
12121212,left,up
12121212,down,up
12121212,up,up
12121212,down,up
12121212,right,up
12121212,right,up
12121212,nothing,up
12121212,nothing,up
12121212,nothing,up
12121212,down,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121112,right,up
12121212,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12121111,up,up
12121212,nothing,up
12121212,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12122212,left,up
12121212,down,up
12121212,down,up
12121212,left,up
22121211,up,up
22121211,up,up
22121211,right,up
12121212,left,up
22121211,down,up
22121211,nothing,up
22121211,nothing,up
22121211,left,up
22121211,up,up
22121211,up,up
22121211,left,up
22121211,up,up
21121211,right,up
12121212,down,up
12121212,right,up
12122212,left,up
12121212,up,up
12121212,down,up
12121212,right,up
12122212,up,up
11122212,down,down
12122212,right,down
12121212,down,down
12121112,right,up
12121112,right,up
12121112,right,up
12121212,nothing,up
12121212,nothing,up
12121212,nothing,up
12121212,down,up
12121111,up,up
12121212,left,up
12121112,left,up
12121112,left,up
12121112,left,up
12122212,left,up
12121212,left,up
22121211,down,up
22121211,right,up
12121212,left,up
22121211,right,up
12121212,left,up
22121211,right,up
12121212,nothing,up
12121212,up,up
12121212,nothing,up
12121212,nothing,up
12121212,down,up
12121212,right,up
12112212,down,up
12112212,down,up
12112212,up,up
12112212,down,up
12112212,down,up
12122212,down,up
12122212,right,up
12122212,up,up
11122212,down,down
12122212,up,down
11122212,left,down
12122212,nothing,down
12122212,down,down
12122212,nothing,down
12122212,nothing,down
12122212,right,down
12122212,left,down
12122212,left,down
12121212,right,down
12122212,down,down
12122212,left,down
12121212,up,down
12121212,left,down
22121211,up,down
22121211,left,down
22121211,left,down
22121211,nothing,down
22121211,nothing,down
22121211,up,down
22121211,down,down
22121211,up,down
22121211,nothing,down
22121211,up,down
22121211,down,down
22121211,nothing,down
22121211,right,down
12121212,up,down
12121212,nothing,down
12121212,right,down
12112212,down,down
12112212,nothing,down
12112212,up,down
12112212,right,down
12112212,up,down
12112212,up,down
12122212,up,down
12122212,down,down
12122212,nothing,down
12122212,right,down
12121112,right,right
12121112,right,right
12121112,right,right
12121212,left,right
12121112,left,right
12121112,left,right
12121112,left,right
12122212,nothing,right
12122212,down,right
12112212,down,down
12112212,up,down
12112212,down,down
12112212,down,down
12112212,left,down
12121212,up,down
12121212,left,down
22121211,down,down
22121211,right,down
12121212,up,down
12121212,left,down
22121211,up,down
22121211,up,down
22121211,left,down
22121211,up,down
22121211,nothing,down
22121211,down,down
22121211,up,down
22121211,up,down
21121211,left,down
21121211,left,down
21121211,right,down
12121212,up,down
12111221,up,down
12111221,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12121212,left,down
12122211,right,down
12121212,up,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,nothing,down
12121212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,down,down
12121212,up,down
12121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
12121212,nothing,down
12121212,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,up,down
11221211,down,down
12221211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121212,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,up,down
11221211,up,down
11221211,right,down
11221212,down,down
12221212,up,down
11221212,down,down
12221212,up,down
11221212,up,down
11221212,down,down
12221212,up,down
11221212,nothing,down
11221212,up,down
11221212,nothing,down
11221212,nothing,down
11221212,up,down
11221212,left,down
11221211,right,down
11221212,right,down
11212212,up,down
11212212,down,down
12212212,nothing,down
12212212,left,down
12221212,up,down
11221212,nothing,down
11221212,up,down
11221212,nothing,down
11221212,nothing,down
11221212,right,down
11212212,nothing,down
11212212,left,down
11221212,up,down
11221212,left,down
11221211,nothing,down
11221211,down,down
12221211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121212,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12121211,up,down
12221211,up,down
11221211,nothing,down
11221211,right,down
11221212,down,down
12221212,up,down
11221212,down,down
12221212,up,down
11221212,right,down
