state,action,supervisor_action
11222211,left,up
11222211,up,right
11222211,right,left
11221212,right,left
11221212,left,nothing
11221212,down,right
12221212,right,down
12221112,right,up
12221112,nothing,left
12221112,left,up
12221112,down,left
12221112,left,nothing
12221212,nothing,nothing
12221212,right,up
12221112,up,left
11221212,right,right
11221212,left,right
11221212,down,left
12221112,down,up
12221112,down,right
12221112,right,right
12221112,nothing,right
12221112,right,right
12211112,nothing,down
12211112,up,left
11211212,left,right
11221212,left,down
11221212,down,up
12221112,up,down
11221212,up,nothing
11221212,down,right
12221112,down,nothing
12221112,up,up
11221212,left,left
11221212,down,down
12221212,up,nothing
11221212,up,nothing
11221212,left,left
11222211,up,down
11222211,up,left
11222211,left,left
11222211,up,up
11222211,nothing,left
11222211,right,down
11221212,up,nothing
11221212,down,down
12221212,down,down
12111212,up,right
12221212,up,down
11221212,nothing,nothing
11221212,right,down
11221212,left,up
11221212,up,nothing
11221212,nothing,left
11221212,left,down
11222211,nothing,left
11222211,left,right
11222211,up,down
11222211,left,nothing
11222211,up,right
11222211,nothing,right
11222211,right,right
11221212,nothing,down
11221212,down,nothing
12221212,right,right
12221112,left,right
12221212,left,down
12222211,nothing,nothing
12222211,up,left
11222211,up,right
11222211,left,down
11222211,right,right
11221212,left,up
11222211,nothing,right
11222211,left,nothing
11222211,down,down
12222211,nothing,nothing
12222211,right,left
12221212,up,nothing
11221212,right,left
11221212,up,right
11221212,right,down
11221212,up,nothing
11221212,down,down
12221112,nothing,nothing
12221112,left,down
12221112,up,nothing
11221212,right,nothing
11221212,left,right
11221212,nothing,up
11221212,down,right
12221112,up,nothing
11221212,up,right
11221212,left,left
11221212,nothing,up
11221212,left,down
11222211,up,right
11222211,nothing,left
11222211,up,down
11222211,nothing,right
11222211,nothing,nothing
11222211,down,up
12222211,right,up
12221212,down,up
12111212,left,up
12122211,right,nothing
12111212,down,nothing
12111212,up,left
12111212,right,down
12111212,right,nothing
12111212,nothing,nothing
12111212,nothing,right
12111212,nothing,right
12111212,up,right
12221212,down,right
12111212,left,up
12122211,right,left
12111212,nothing,nothing
12111212,right,down
12111212,left,down
12122211,nothing,down
12122211,down,left
12122211,right,nothing
12111212,up,left
12111212,nothing,nothing
12111212,nothing,down
12111212,left,left
12122211,left,left
12122211,right,up
12111212,nothing,right
12111212,down,nothing
12111212,nothing,left
12111212,down,down
12111212,down,nothing
12111221,down,left
12111221,left,nothing
12121211,left,up
12121211,left,up
12121211,up,nothing
12121211,down,up
12121211,left,right
12121211,up,left
12121211,up,left
12121211,left,left
12121211,down,left
12121211,left,nothing
12121211,right,down
12111212,left,down
12121211,right,right
12111212,down,left
12111212,right,left
12111212,left,up
12121211,down,left
12121211,right,nothing
12121212,left,down
12121211,up,down
12121211,left,right
12121211,right,nothing
12111212,nothing,left
12111212,down,right
12121212,down,up
12121212,right,left
12122212,up,down
11122212,right,down
11121212,nothing,nothing
11121212,nothing,right
11121212,right,left
11121212,up,down
11121212,left,nothing
11121212,up,right
11121212,nothing,down
11121212,nothing,up
11121212,left,left
11122212,nothing,left
11122212,down,right
12122212,left,nothing
12121212,down,nothing
12121212,left,left
12121211,nothing,up
12121211,left,down
12121211,left,down
12121211,left,up
12121211,left,right
12121211,nothing,nothing
12121211,left,nothing
12121211,nothing,right
12121211,left,nothing
12121211,right,nothing
12121212,up,nothing
12121212,right,down
12122212,right,up
12121212,nothing,nothing
12121212,left,nothing
12122212,nothing,left
12122212,nothing,right
12122212,nothing,left
12122212,down,up
12122212,nothing,left
12122212,up,down
12122212,nothing,up
12122212,up,left
11122212,up,up
11122212,left,right
12121212,up,left
12111212,left,left
12121211,up,nothing
12121211,down,down
12121211,left,left
12121211,right,left
12111212,nothing,left
12111212,nothing,nothing
12111212,down,nothing
12121212,nothing,left
12121212,right,left
11122212,left,left
12121212,up,up
12111212,up,up
12111212,right,left
12111212,nothing,right
12111212,up,nothing
12111212,right,nothing
12111212,down,right
12111212,down,right
12111212,up,down
12111212,left,nothing
12121211,right,left
12111212,nothing,up
12111212,right,up
12111212,right,right
12111212,right,right
12111212,nothing,up
12111212,left,left
12121211,left,down
12121211,right,right
12111212,right,up
12111212,up,left
12111212,down,up
12111212,right,nothing
12111212,left,nothing
12121211,left,nothing
12121211,down,down
12121211,right,down
12111212,right,right
12111212,right,right
