state,action,supervisor_action
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11112212,down,down
12112221,nothing,down
12112221,up,down
11112212,nothing,down
11112212,down,down
12112221,nothing,down
12112221,right,down
12112221,up,down
11112212,up,down
11112212,nothing,down
11112212,up,down
11112212,left,down
11122112,right,right
11112212,right,down
11112212,nothing,down
11112212,right,down
11112212,right,down
11112212,left,down
11122112,right,right
11112212,right,down
11112212,up,down
11112212,left,down
11122112,right,right
11112212,right,down
11112212,right,down
11112212,left,down
11122112,right,right
11112212,right,down
11112212,up,down
11112212,nothing,down
11112212,right,down
11112212,right,down
11112212,left,down
11122112,right,right
11112212,nothing,down
11112212,down,down
12112221,up,down
11112212,up,down
11112212,nothing,down
11112212,down,down
12112221,left,down
12121112,left,left
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
12121112,left,left
12121212,right,right
