state,action,supervisor_action
12121211,right,up
12121212,right,right
12121212,right,right
12121212,right,up
12121212,right,down
12121212,right,left
12121212,right,left
12121212,right,down
22111212,up,up
22111212,left,up
11121212,left,down
11121212,left,right
11121212,left,left
12121212,left,right
12121212,left,down
12121212,left,up
12121212,left,down
12121211,right,up
12121212,right,up
12121212,right,right
12121212,right,left
12121212,right,right
11121212,right,left
11121212,right,right
11121212,right,left
22111212,up,up
21111211,up,up
22111211,up,up
22111211,up,up
22111212,up,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
21111212,down,up
22111212,up,up
