state,action,supervisor_action
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,left,down
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
21121211,right,down
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
