state,action,supervisor_action
12121211,right,down
12121212,right,up
12121212,right,down
12121212,right,nothing
12121212,right,right
12121212,right,nothing
12121212,right,right
12121212,right,left
22111212,down,left
22111212,right,up
22111212,right,down
22111212,right,down
22111212,right,down
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,left
22111212,right,down
22111212,right,left
22111212,right,down
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,left
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,up
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,right
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,left
22111212,right,right
22111212,right,left
22111212,right,left
22111212,right,nothing
22111212,right,up
22111212,right,right
22111212,right,down
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,down
22111212,right,nothing
22111212,right,down
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,up
22111212,right,down
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,nothing
22111212,right,up
22111212,right,left
22111212,right,up
22111212,right,down
22111212,right,up
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,left
22111212,right,nothing
22111212,right,left
22111212,right,left
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,nothing
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,right
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,left
22111212,right,up
22111212,right,down
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,nothing
22111212,right,nothing
22111212,right,left
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,left
22111212,right,nothing
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,up
22111212,right,down
22111212,right,nothing
22111212,right,left
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,right
22111212,right,down
22111212,right,left
22111212,right,right
22111212,right,left
22111212,right,down
22111212,right,up
22111212,right,left
22111212,right,down
22111212,right,left
22111212,right,left
22111212,right,down
22111212,right,right
22111212,right,nothing
22111212,right,down
22111212,right,right
22111212,right,right
22111212,right,right
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,right
22111212,right,left
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,nothing
22111212,right,nothing
22111212,right,left
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,up
22111212,right,up
22111212,right,left
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,up
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,right
22111212,right,nothing
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,down
22111212,right,left
22111212,right,right
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,right
22111212,right,down
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,left
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,up
22111212,right,right
22111212,right,up
22111212,right,right
22111212,right,right
22111212,right,down
22111212,right,left
22111212,right,left
22111212,right,down
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,nothing
22111212,right,left
22111212,right,up
22111212,right,right
22111212,right,right
22111212,right,down
22111212,right,left
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,right
22111212,right,up
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,nothing
22111212,right,down
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,down
22111212,right,down
22111212,right,up
22111212,right,right
22111212,right,up
22111212,right,up
22111212,right,up
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,nothing
22111212,right,up
22111212,right,left
22111212,right,left
22111212,right,left
22111212,right,nothing
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,up
22111212,right,up
22111212,right,up
22111212,right,left
22111212,right,down
22111212,right,up
22111212,right,down
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,nothing
22111212,right,up
22111212,right,left
22111212,right,left
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,down
22111212,right,down
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,nothing
22111212,right,nothing
22111212,right,nothing
22111212,right,right
22111212,right,down
22111212,right,up
22111212,right,down
22111212,right,down
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,left
22111212,right,down
22111212,right,up
22111212,right,down
22111212,right,up
22111212,right,left
22111212,right,down
22111212,right,nothing
22111212,right,left
22111212,right,left
22111212,right,down
22111212,right,nothing
22111212,right,up
22111212,right,up
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,up
22111212,right,nothing
22111212,right,right
22111212,right,left
22111212,right,nothing
22111212,right,nothing
22111212,right,up
22111212,right,right
22111212,right,left
22111212,right,up
22111212,right,right
22111212,right,nothing
22111212,right,nothing
22111212,right,down
22111212,right,down
22111212,right,up
22111212,right,up
22111212,right,right
22111212,right,right
22111212,right,right
22111212,right,up
22111212,right,nothing
22111212,right,up
22111212,right,down
22111212,right,left
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,left
22111212,right,right
22111212,right,nothing
22111212,right,down
22111212,right,down
22111212,right,down
22111212,right,left
22111212,right,up
22111212,right,down
22111212,right,left
22111212,right,right
22111212,right,nothing
22111212,right,nothing
22111212,right,nothing
22111212,right,nothing
22111212,right,left
22111212,right,down
22111212,right,up
22111212,right,up
22111212,right,nothing
22111212,right,up
22111212,right,left
22111212,right,down
22111212,right,nothing
22111212,right,right
22111212,right,up
22111212,right,left
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,nothing
22111212,right,right
22111212,right,nothing
22111212,right,left
22111212,right,right
22111212,right,nothing
22111212,right,down
22111212,right,nothing
22111212,right,right
22111212,right,right
22111212,right,right
22111212,right,nothing
22111212,right,left
22111212,right,up
22111212,right,up
22111212,right,down
22111212,right,right
22111212,right,nothing
22111212,right,up
22111212,right,up
22111212,right,left
22111212,right,down
