state,action,supervisor_action
11122212,down,down
12222212,down,down
12122111,down,down
12121211,down,down
12121211,down,right
12121211,down,up
12121222,left,left
11121222,left,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,right
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
11121221,down,left
12121112,up,up
11121221,down,left
12121112,up,left
